cliente_id,razao_social,cnpj,segmento,cidade,uf,vendedor_responsavel,data_primeira_compra,limite_credito,status
AUR-0001,Vipar Engenharia Ltda,12.345.678/0001-90,Construtora,São Paulo,SP,Carla Mendes,2021-03-14,850000,Ativo
AUR-0002,Vipar Engenharia EIRELI,10.000.142/0001-43,Indústria,Sorocaba,SP,Carla Mendes,2024-10-11,178369,Ativo
AUR-0003,Construbase S/A,10.000.213/0001-56,Construtora,Campinas,SP,Roberto Almeida,2025-06-16,281244,Ativo
AUR-0004,Fernando Costa Instaladora Ltda,10.000.284/0001-69,Setor Público,Porto Alegre,RS,Patricia Yoshida,2025-09-06,640726,Ativo
AUR-0005,Cetel Engenharia Ltda,10.000.355/0001-82,Instaladora,Guarulhos,SP,Marcos Tavares,2021-12-24,150785,Inativo
AUR-0006,Elétrica Marília ME,10.000.426/0001-95,Instaladora,Bauru,SP,João Bittencourt,2025-04-08,65353,Ativo
AUR-0007,Fernando Santos Comércio Elétrico Ltda,10.000.497/0001-18,Revenda,Ribeirão Preto,SP,Eduarda Carvalho,2021-09-12,92722,Ativo
AUR-0008,Mafer Engenharia S/A,10.000.568/0001-31,Setor Público,Campinas,SP,Eduarda Carvalho,2024-11-10,336466,Ativo
AUR-0009,Plaza Empreendimentos & Cia,10.000.639/0001-44,Construtora,Bauru,SP,Diego Salgueiro,2022-10-05,648591,Ativo
AUR-0010,Instaladora Foco Ltda,10.000.710/0001-57,Indústria,Osasco,SP,Roberto Almeida,2023-01-04,459757,Ativo
AUR-0011,Ricardo Costa Materiais Elétricos Ltda,10.000.781/0001-70,Instaladora,São Paulo,SP,Marcos Tavares,2025-05-24,110765,Ativo
AUR-0012,Brilho Materiais Elétricos EIRELI,10.000.852/0001-83,Revenda,Porto Alegre,RS,Diego Salgueiro,2022-03-24,130186,Ativo
AUR-0013,Juliana Oliveira Materiais Elétricos Ltda,10.000.923/0001-96,Revenda,Guarulhos,SP,Marcos Tavares,2022-10-22,163712,Ativo
AUR-0014,Construsul & Cia,10.000.994/0001-19,Revenda,Campinas,SP,Luana Prado,2024-03-15,212969,Ativo
AUR-0015,Roberto Oliveira Instaladora Ltda,10.001.065/0001-32,Construtora,São Paulo,SP,Patricia Yoshida,2020-07-03,299405,Ativo
AUR-0016,Ana Pereira Materiais Elétricos Ltda,10.001.136/0001-45,Revenda,Cotia,SP,Patricia Yoshida,2023-12-25,63009,Ativo
AUR-0017,Ricardo Oliveira Comércio Elétrico Ltda,10.001.207/0001-58,Setor Público,Cotia,SP,Diego Salgueiro,2022-05-29,759199,Ativo
AUR-0018,GEL Engenharia S/A,10.001.278/0001-71,Revenda,Bauru,SP,Eduarda Carvalho,2025-09-30,219637,Ativo
AUR-0019,Energ Tech & Cia,10.001.349/0001-84,Revenda,Bauru,SP,Diego Salgueiro,2022-04-22,65105,Ativo
AUR-0020,Materiais Bonsucesso Ltda,10.001.420/0001-97,Instaladora,Juiz de Fora,MG,Eduarda Carvalho,2024-05-05,60645,Ativo
AUR-0021,Casa do Eletricista ME,10.001.491/0001-20,Revenda,Curitiba,PR,Diego Salgueiro,2021-01-03,204127,Ativo
AUR-0022,Patrícia Pereira Instaladora Ltda,10.001.562/0001-33,Revenda,Bauru,SP,Roberto Almeida,2019-12-14,257988,Ativo
AUR-0023,Eletroshow S/A,10.001.633/0001-46,Instaladora,São Paulo,SP,João Bittencourt,2023-03-05,98903,Ativo
AUR-0024,Marcos Costa Construções Ltda,10.001.704/0001-59,Construtora,São Paulo,SP,Diego Salgueiro,2024-12-16,324441,Ativo
AUR-0025,VoltMax Ltda,10.001.775/0001-72,Instaladora,Guarulhos,SP,João Bittencourt,2020-06-14,167248,Ativo
AUR-0026,Eletrocentral ME,10.001.846/0001-85,Revenda,Cotia,SP,Carla Mendes,2020-12-02,271680,Ativo
AUR-0027,Marcos Santos Construções Ltda,10.001.917/0001-98,Revenda,Jundiaí,SP,João Bittencourt,2024-07-12,182427,Ativo
AUR-0028,Saber Engenharia S/A,10.001.988/0001-21,Instaladora,Osasco,SP,Patricia Yoshida,2022-12-14,157601,Ativo
AUR-0029,Ricardo Santos Construções Ltda,10.002.059/0001-34,Construtora,Florianópolis,SC,Eduarda Carvalho,2024-09-15,714656,Ativo
AUR-0030,GoodTech Automação Ltda,10.002.130/0001-47,Instaladora,Juiz de Fora,MG,Marcos Tavares,2021-04-04,83597,Ativo
AUR-0031,InfraOne ME,10.002.201/0001-60,Instaladora,Jundiaí,SP,Patricia Yoshida,2020-08-26,139345,Ativo
AUR-0032,Juliana Oliveira Engenharia Ltda,10.002.272/0001-73,Indústria,Ribeirão Preto,SP,Diego Salgueiro,2025-01-26,411382,Ativo
AUR-0033,Lumen Comercial S/A,10.002.343/0001-86,Construtora,Curitiba,PR,Diego Salgueiro,2023-12-28,302578,Inativo
AUR-0034,Ana Santos Engenharia Ltda,10.002.414/0001-99,Revenda,Jundiaí,SP,Carla Mendes,2022-12-29,81000,Ativo
AUR-0035,Iluminar SP Ltda,10.002.485/0001-22,Construtora,Porto Alegre,RS,Roberto Almeida,2022-03-17,899468,Ativo
AUR-0036,GreenLight Soluções ME,10.002.556/0001-35,Instaladora,Jundiaí,SP,Carla Mendes,2022-05-23,122361,Ativo
AUR-0037,Andrade & Cia EIRELI,10.002.627/0001-48,Outros,Porto Alegre,RS,Luana Prado,2024-12-06,24754,Ativo
AUR-0038,VKR Engenharia S/A,10.002.698/0001-61,Revenda,Bauru,SP,Diego Salgueiro,2023-01-06,129520,Ativo
AUR-0039,Eduardo Silva Comércio Elétrico Ltda,10.002.769/0001-74,Instaladora,Ribeirão Preto,SP,Diego Salgueiro,2024-08-04,154867,Ativo
AUR-0040,Loja do Eletricista (Campinas) Ltda,10.002.840/0001-87,Construtora,Cotia,SP,Eduarda Carvalho,2024-01-05,527312,Ativo
AUR-0041,Patrícia Pereira Comércio Elétrico Ltda,10.002.911/0001-10,Revenda,Juiz de Fora,MG,Marcos Tavares,2025-03-08,115215,Inativo
AUR-0042,Casa Forte Materiais EIRELI,10.002.982/0001-23,Revenda,São Paulo,SP,Patricia Yoshida,2024-04-15,277408,Ativo
AUR-0043,Ricardo Rodrigues Comércio Elétrico Ltda,10.003.053/0001-36,Instaladora,São Paulo,SP,Carla Mendes,2024-01-31,82357,Ativo
AUR-0044,TopWatt Distribuidora & Cia,10.003.124/0001-49,Instaladora,São Paulo,SP,Patricia Yoshida,2025-04-22,78821,Ativo
AUR-0045,Camila Rodrigues Comércio Elétrico Ltda,10.003.195/0001-62,Instaladora,Guarulhos,SP,Diego Salgueiro,2023-02-06,105412,Ativo
AUR-0046,Camila Rodrigues Engenharia Ltda,10.003.266/0001-75,Instaladora,Sorocaba,SP,Marcos Tavares,2024-07-17,148080,Ativo
AUR-0047,Juliana Almeida Materiais Elétricos Ltda,10.003.337/0001-88,Construtora,Campinas,SP,João Bittencourt,2022-01-27,743554,Ativo
AUR-0048,Ricardo Rodrigues Comércio Elétrico Ltda,10.003.408/0001-11,Construtora,São José dos Campos,SP,Diego Salgueiro,2024-06-17,542683,Ativo
AUR-0049,Eduardo Silva Construções Ltda,10.003.479/0001-24,Instaladora,Belo Horizonte,MG,Patricia Yoshida,2022-03-28,86810,Ativo
AUR-0050,Vanessa Costa Materiais Elétricos Ltda,10.003.550/0001-37,Revenda,São Paulo,SP,João Bittencourt,2025-09-26,90315,Ativo
AUR-0051,Patrícia Almeida Instaladora Ltda,10.003.621/0001-50,Revenda,São Paulo,SP,Luana Prado,2022-01-19,240055,Ativo
AUR-0052,Eduardo Pereira Instaladora Ltda,10.003.692/0001-63,Indústria,São José dos Campos,SP,Patricia Yoshida,2022-06-09,185339,Ativo
AUR-0053,Fernando Oliveira Comércio Elétrico Ltda,10.003.763/0001-76,Instaladora,Porto Alegre,RS,Patricia Yoshida,2025-10-01,150217,Ativo
AUR-0054,Vanessa Almeida Instaladora Ltda,10.003.834/0001-89,Instaladora,Uberlândia,MG,Roberto Almeida,2023-05-11,152692,Ativo
AUR-0055,Eduardo Almeida Construções Ltda,10.003.905/0001-12,Setor Público,Campinas,SP,João Bittencourt,2023-03-27,388967,Ativo
AUR-0056,Juliana Santos Instaladora Ltda,10.003.976/0001-25,Instaladora,Belo Horizonte,MG,Diego Salgueiro,2023-07-29,46402,Ativo
AUR-0057,Roberto Silva Construções Ltda,10.004.047/0001-38,Instaladora,Belo Horizonte,MG,Marcos Tavares,2019-12-12,169598,Ativo
AUR-0058,Ana Fernandes Engenharia Ltda,10.004.118/0001-51,Revenda,Uberlândia,MG,João Bittencourt,2022-03-13,125325,Ativo
AUR-0059,Ricardo Rodrigues Comércio Elétrico Ltda,10.004.189/0001-64,Revenda,Uberlândia,MG,Diego Salgueiro,2020-06-06,220603,Ativo
AUR-0060,Eduardo Fernandes Engenharia Ltda,10.004.260/0001-77,Outros,Sorocaba,SP,Roberto Almeida,2022-07-20,36203,Ativo
AUR-0061,Ana Oliveira Engenharia Ltda,10.004.331/0001-90,Instaladora,Campinas,SP,Patricia Yoshida,2024-01-16,123809,Ativo
AUR-0062,Ricardo Fernandes Instaladora Ltda,10.004.402/0001-13,Construtora,São Paulo,SP,Luana Prado,2025-07-14,685020,Ativo
AUR-0063,Marcos Almeida Materiais Elétricos Ltda,10.004.473/0001-26,Outros,Jundiaí,SP,Diego Salgueiro,2021-01-20,57728,Ativo
AUR-0064,Patrícia Fernandes Engenharia Ltda,10.004.544/0001-39,Setor Público,Sorocaba,SP,Roberto Almeida,2025-06-06,586330,Ativo
AUR-0065,Roberto Fernandes Engenharia Ltda,10.004.615/0001-52,Indústria,Florianópolis,SC,Carla Mendes,2021-05-03,476065,Ativo
AUR-0066,Fernando Oliveira Instaladora Ltda,10.004.686/0001-65,Indústria,Osasco,SP,Carla Mendes,2021-07-03,134209,Ativo
AUR-0067,Fernando Pereira Instaladora Ltda,10.004.757/0001-78,Revenda,Sorocaba,SP,Eduarda Carvalho,2020-06-24,145680,Inativo
AUR-0068,Camila Costa Construções Ltda,10.004.828/0001-91,Revenda,São Paulo,SP,Eduarda Carvalho,2022-12-25,73653,Ativo
AUR-0069,Juliana Santos Comércio Elétrico Ltda,10.004.899/0001-14,Construtora,Santo André,SP,Roberto Almeida,2022-11-18,409784,Ativo
AUR-0070,Roberto Pereira Construções Ltda,10.004.970/0001-27,Instaladora,Porto Alegre,RS,Carla Mendes,2022-04-04,70024,Ativo
AUR-0071,Patrícia Santos Comércio Elétrico Ltda,10.005.041/0001-40,Instaladora,Campinas,SP,Carla Mendes,2022-05-16,143980,Ativo
AUR-0072,Vanessa Silva Materiais Elétricos Ltda,10.005.112/0001-53,Revenda,Florianópolis,SC,Roberto Almeida,2021-08-07,271164,Inativo
AUR-0073,Fernando Fernandes Construções Ltda,10.005.183/0001-66,Indústria,Belo Horizonte,MG,Luana Prado,2020-08-06,298903,Ativo
AUR-0074,Eduardo Fernandes Instaladora Ltda,10.005.254/0001-79,Revenda,Belo Horizonte,MG,Eduarda Carvalho,2022-09-29,106173,Ativo
AUR-0075,Juliana Costa Instaladora Ltda,10.005.325/0001-92,Instaladora,Porto Alegre,RS,João Bittencourt,2021-07-03,62718,Ativo
AUR-0076,Patrícia Almeida Materiais Elétricos Ltda,10.005.396/0001-15,Revenda,São José dos Campos,SP,Patricia Yoshida,2022-08-28,145200,Ativo
AUR-0077,Fernando Fernandes Comércio Elétrico Ltda,10.005.467/0001-28,Revenda,Campinas,SP,João Bittencourt,2020-04-01,110084,Ativo
AUR-0078,Fernando Costa Materiais Elétricos Ltda,10.005.538/0001-41,Construtora,Porto Alegre,RS,Patricia Yoshida,2021-11-24,347573,Ativo
AUR-0079,Juliana Pereira Materiais Elétricos Ltda,10.005.609/0001-54,Outros,Sorocaba,SP,Marcos Tavares,2023-08-06,56070,Ativo
AUR-0080,Roberto Costa Engenharia Ltda,10.005.680/0001-67,Outros,Juiz de Fora,MG,Patricia Yoshida,2022-07-31,55118,Ativo
AUR-0081,Roberto Pereira Construções Ltda,10.005.751/0001-80,Instaladora,Florianópolis,SC,Carla Mendes,2025-03-30,117659,Ativo
AUR-0082,Roberto Fernandes Construções Ltda,10.005.822/0001-93,Revenda,São Paulo,SP,Roberto Almeida,2020-06-28,136581,Ativo
AUR-0083,Eduardo Fernandes Construções Ltda,10.005.893/0001-16,Instaladora,São Paulo,SP,Patricia Yoshida,2024-12-03,88329,Ativo
AUR-0084,Vanessa Pereira Construções Ltda,10.005.964/0001-29,Indústria,Campinas,SP,Carla Mendes,2021-02-01,148106,Ativo
AUR-0085,Fernando Fernandes Instaladora Ltda,10.006.035/0001-42,Indústria,Ribeirão Preto,SP,Diego Salgueiro,2020-12-11,238325,Ativo
AUR-0086,Ana Costa Engenharia Ltda,10.006.106/0001-55,Indústria,Sorocaba,SP,João Bittencourt,2023-12-29,151578,Ativo
AUR-0087,Fernando Fernandes Comércio Elétrico Ltda,10.006.177/0001-68,Revenda,Juiz de Fora,MG,Patricia Yoshida,2023-02-27,79677,Ativo
AUR-0088,Patrícia Pereira Comércio Elétrico Ltda,10.006.248/0001-81,Instaladora,Santo André,SP,Roberto Almeida,2023-03-27,159021,Ativo
AUR-0089,Roberto Pereira Comércio Elétrico Ltda,10.006.319/0001-94,Instaladora,Porto Alegre,RS,Diego Salgueiro,2020-10-30,77286,Ativo
AUR-0090,Eduardo Fernandes Instaladora Ltda,10.006.390/0001-17,Indústria,São Paulo,SP,João Bittencourt,2020-11-28,279431,Ativo
AUR-0091,Patrícia Silva Materiais Elétricos Ltda,10.006.461/0001-30,Revenda,Porto Alegre,RS,Carla Mendes,2023-10-16,125632,Ativo
AUR-0092,Roberto Rodrigues Instaladora Ltda,10.006.532/0001-43,Indústria,São Paulo,SP,Roberto Almeida,2021-03-05,351855,Ativo
AUR-0093,Camila Rodrigues Instaladora Ltda,10.006.603/0001-56,Indústria,Ribeirão Preto,SP,João Bittencourt,2021-04-06,174840,Ativo
AUR-0094,Camila Pereira Materiais Elétricos Ltda,10.006.674/0001-69,Revenda,Cotia,SP,Luana Prado,2021-03-22,69619,Ativo
AUR-0095,Marcos Costa Comércio Elétrico Ltda,10.006.745/0001-82,Construtora,Bauru,SP,João Bittencourt,2020-03-01,818950,Ativo
AUR-0096,Ricardo Oliveira Materiais Elétricos Ltda,10.006.816/0001-95,Outros,Uberlândia,MG,Diego Salgueiro,2020-04-26,23382,Ativo
AUR-0097,Roberto Pereira Comércio Elétrico Ltda,10.006.887/0001-18,Indústria,São Paulo,SP,Roberto Almeida,2024-09-16,439224,Ativo
AUR-0098,Roberto Fernandes Materiais Elétricos Ltda,10.006.958/0001-31,Construtora,Curitiba,PR,João Bittencourt,2021-02-04,733863,Ativo
AUR-0099,Roberto Rodrigues Engenharia Ltda,10.007.029/0001-44,Revenda,Curitiba,PR,Eduarda Carvalho,2024-03-22,123892,Ativo
AUR-0100,Ricardo Pereira Construções Ltda,10.007.100/0001-57,Instaladora,Ribeirão Preto,SP,João Bittencourt,2020-04-06,148774,Ativo
AUR-0101,Camila Rodrigues Instaladora Ltda,10.007.171/0001-70,Revenda,São José dos Campos,SP,Diego Salgueiro,2023-01-28,201185,Ativo
AUR-0102,Juliana Rodrigues Instaladora Ltda,10.007.242/0001-83,Instaladora,Guarulhos,SP,Roberto Almeida,2025-05-04,147682,Ativo
AUR-0103,Juliana Santos Comércio Elétrico Ltda,10.007.313/0001-96,Revenda,Uberlândia,MG,Carla Mendes,2024-02-20,147030,Ativo
AUR-0104,Eduardo Almeida Comércio Elétrico Ltda,10.007.384/0001-19,Indústria,Jundiaí,SP,João Bittencourt,2022-01-26,200929,Ativo
AUR-0105,Juliana Silva Comércio Elétrico Ltda,10.007.455/0001-32,Revenda,São Paulo,SP,Marcos Tavares,2022-07-13,159617,Ativo
AUR-0106,Ana Santos Instaladora Ltda,10.007.526/0001-45,Outros,Osasco,SP,João Bittencourt,2025-06-06,25923,Inativo
AUR-0107,Fernando Oliveira Engenharia Ltda,10.007.597/0001-58,Construtora,Curitiba,PR,Patricia Yoshida,2023-09-26,557618,Ativo
AUR-0108,Vanessa Costa Instaladora Ltda,10.007.668/0001-71,Construtora,Porto Alegre,RS,Carla Mendes,2020-08-01,889098,Ativo
