titulo_id,fornecedor,cnpj_fornecedor,categoria_despesa,data_emissao,data_vencimento,valor,status
PAG-70000,Prysmian Cabos do Brasil,10.004.970/0001-27,Insumos,2025-01-18,2025-02-17,-47832.98,Pago
PAG-70001,Prysmian Cabos do Brasil,10.005.041/0001-40,Insumos,2025-01-05,2025-02-04,-67767.66,Pago
PAG-70002,Prysmian Cabos do Brasil,10.005.112/0001-53,Insumos,2025-01-22,2025-03-08,-65492.13,Pago
PAG-70003,Prysmian Cabos do Brasil,10.005.183/0001-66,Insumos,2025-01-18,2025-02-17,-69811.95,Pago
PAG-70004,Prysmian Cabos do Brasil,10.005.254/0001-79,Insumos,2025-01-15,2025-01-30,-46490.79,Pago
PAG-70005,Prysmian Cabos do Brasil,10.005.325/0001-92,Insumos,2025-01-24,2025-02-21,-64397.58,Pago
PAG-70006,Prysmian Cabos do Brasil,10.005.396/0001-15,Insumos,2025-01-06,2025-02-03,-68290.3,Pago
PAG-70007,Prysmian Cabos do Brasil,10.005.467/0001-28,Insumos,2025-01-16,2025-01-31,-76401.65,Pago
PAG-70008,Prysmian Cabos do Brasil,10.005.538/0001-41,Insumos,2025-01-26,2025-03-12,-55251.04,Pago
PAG-70009,Prysmian Cabos do Brasil,10.005.609/0001-54,Insumos,2025-01-26,2025-02-10,-52401.45,Pago
PAG-70010,Prysmian Cabos do Brasil,10.005.680/0001-67,Insumos,2025-01-09,2025-02-08,-63479.18,Pago
PAG-70011,Prysmian Cabos do Brasil,10.005.751/0001-80,Insumos,2025-01-16,2025-02-13,-65373.61,Pago
PAG-70012,Schneider Electric Brasil,10.005.822/0001-93,Insumos,2025-01-07,2025-01-22,-37915.38,Pago
PAG-70013,Schneider Electric Brasil,10.005.893/0001-16,Insumos,2025-01-10,2025-02-24,-20999.86,Pago
PAG-70014,Schneider Electric Brasil,10.005.964/0001-29,Insumos,2025-01-17,2025-02-14,-29346.76,Pago
PAG-70015,Schneider Electric Brasil,10.006.035/0001-42,Insumos,2025-01-15,2025-01-30,-39729.44,Pago
PAG-70016,Schneider Electric Brasil,10.006.106/0001-55,Insumos,2025-01-08,2025-02-07,-27561.41,Pago
PAG-70017,Empalux Iluminação,10.006.177/0001-68,Insumos,2025-01-15,2025-02-14,-31314.23,Pago
PAG-70018,Empalux Iluminação,10.006.248/0001-81,Insumos,2025-01-20,2025-03-06,-49859.44,Pago
PAG-70019,Empalux Iluminação,10.006.319/0001-94,Insumos,2025-01-24,2025-02-23,-25701.43,Pago
