titulo_id,pedido_id,cliente_id,razao_social,data_emissao,data_vencimento,data_pagamento,valor_titulo,valor_pago,status,dias_atraso,forma_pagamento
REC-50000,PED-106180,AUR-0360,Ana Rodrigues Comércio Elétrico Ltda,2025-01-01,2025-01-01,2024-12-30,1274.72,1274.72,Pago,0,Boleto
REC-50001,PED-106180,AUR-0360,Ana Rodrigues Comércio Elétrico Ltda,2025-01-01,2025-01-16,2025-01-14,263.67,263.67,Pago,0,PIX
REC-50002,PED-106180,AUR-0360,Ana Rodrigues Comércio Elétrico Ltda,2025-01-01,2025-01-31,2025-02-01,1541.82,1541.82,Pago,1,Cartão
REC-50003,PED-106180,AUR-0360,Ana Rodrigues Comércio Elétrico Ltda,2025-01-01,2025-01-31,2025-02-04,1975.92,1975.92,Pago,4,Cartão
REC-50004,PED-106181,AUR-0256,Vanessa Rodrigues Comércio Elétrico Ltda,2025-01-01,2025-01-16,2025-01-20,380.27,380.27,Pago,4,Cartão
REC-50005,PED-106181,AUR-0256,Vanessa Rodrigues Comércio Elétrico Ltda,2025-01-01,2025-01-31,2025-02-27,240.68,240.68,Pago,27,Cartão
REC-50006,PED-106181,AUR-0256,Vanessa Rodrigues Comércio Elétrico Ltda,2025-01-01,2025-01-31,2025-02-04,1053.78,1053.78,Pago,4,Boleto
REC-50007,PED-106182,AUR-0002,Vipar Engenharia EIRELI,2025-01-01,2025-01-01,2025-01-27,914.32,914.32,Pago,26,Cartão
REC-50008,PED-106182,AUR-0002,Vipar Engenharia EIRELI,2025-01-01,2025-01-31,,210.39,0,Vencido,334,Cartão
REC-50009,PED-106182,AUR-0002,Vipar Engenharia EIRELI,2025-01-01,2025-01-16,,1319.67,659.835,Renegociado,0,Boleto
REC-50010,PED-106182,AUR-0002,Vipar Engenharia EIRELI,2025-01-01,2025-01-29,2025-01-30,56.22,56.22,Pago,1,Boleto
REC-50011,PED-106183,AUR-0133,Ricardo Almeida Construções Ltda,2025-01-01,2025-01-31,2025-02-13,2997.48,2997.48,Pago,13,Cartão
REC-50012,PED-106183,AUR-0133,Ricardo Almeida Construções Ltda,2025-01-01,2025-01-01,2025-01-29,221.44,221.44,Pago,28,Boleto
REC-50013,PED-106183,AUR-0133,Ricardo Almeida Construções Ltda,2025-01-01,2025-01-16,,619.71,309.855,Renegociado,0,Boleto
REC-50014,PED-106183,AUR-0133,Ricardo Almeida Construções Ltda,2025-01-01,2025-01-31,,1872.83,936.415,Renegociado,0,Cartão
REC-50015,PED-106184,AUR-0205,Marcos Fernandes Materiais Elétricos Ltda,2025-01-01,2025-01-01,2025-01-05,596.39,596.39,Pago,4,Boleto
REC-50016,PED-106184,AUR-0205,Marcos Fernandes Materiais Elétricos Ltda,2025-01-01,2025-01-01,2025-01-03,752.88,752.88,Pago,2,Boleto
REC-50017,PED-106184,AUR-0205,Marcos Fernandes Materiais Elétricos Ltda,2025-01-01,2025-01-29,2025-02-09,2105.14,2105.14,Pago,11,PIX
REC-50018,PED-106184,AUR-0205,Marcos Fernandes Materiais Elétricos Ltda,2025-01-01,2025-01-29,,8.97,0,Vencido,336,Boleto
REC-50019,PED-106185,AUR-0379,Camila Santos Engenharia Ltda,2025-01-01,2025-01-16,2025-01-17,115.67,115.67,Pago,1,Cartão
REC-50020,PED-106185,AUR-0379,Camila Santos Engenharia Ltda,2025-01-01,2025-01-16,2025-03-01,846.33,846.33,Pago,44,Boleto
REC-50021,PED-106186,AUR-0025,VoltMax Ltda,2025-01-01,2025-01-31,,2110.16,1055.08,Renegociado,0,PIX
REC-50022,PED-106186,AUR-0025,VoltMax Ltda,2025-01-01,2025-01-31,,1584.67,0,Vencido,334,PIX
REC-50023,PED-106186,AUR-0025,VoltMax Ltda,2025-01-01,2025-01-16,2025-01-18,1332.47,1332.47,Pago,2,Boleto
REC-50024,PED-106187,AUR-0370,Fernando Silva Engenharia Ltda,2025-01-01,2025-01-29,2025-01-27,3872.31,3872.31,Pago,0,Cartão
REC-50025,PED-106188,AUR-0160,Roberto Fernandes Construções Ltda,2025-01-01,2025-01-01,2024-12-30,65.49,65.49,Pago,0,Boleto
REC-50026,PED-106188,AUR-0160,Roberto Fernandes Construções Ltda,2025-01-01,2025-01-01,2025-01-05,53.08,53.08,Pago,4,Cartão
REC-50027,PED-106188,AUR-0160,Roberto Fernandes Construções Ltda,2025-01-01,2025-01-16,2025-01-21,971.02,971.02,Pago,5,PIX
REC-50028,PED-106188,AUR-0160,Roberto Fernandes Construções Ltda,2025-01-01,2025-01-31,,3862.76,0,Vencido,334,Cartão
REC-50029,PED-106188,AUR-0160,Roberto Fernandes Construções Ltda,2025-01-01,2025-01-01,,6589.66,3294.83,Renegociado,0,Boleto
REC-50030,PED-106188,AUR-0160,Roberto Fernandes Construções Ltda,2025-01-01,2025-01-29,2025-01-30,858.78,858.78,Pago,1,Cartão
REC-50031,PED-106189,AUR-0024,Marcos Costa Construções Ltda,2025-01-01,2025-02-15,2025-02-13,1078.87,1078.87,Pago,0,Boleto
REC-50032,PED-106189,AUR-0024,Marcos Costa Construções Ltda,2025-01-01,2025-02-15,2025-02-16,121.22,121.22,Pago,1,Boleto
REC-50033,PED-106189,AUR-0024,Marcos Costa Construções Ltda,2025-01-01,2025-02-15,,5128.37,2564.185,Renegociado,0,Boleto
REC-50034,PED-106190,AUR-0283,Roberto Oliveira Instaladora Ltda,2025-01-01,2025-01-29,2025-01-27,7361.2,7361.2,Pago,0,PIX
REC-50035,PED-106190,AUR-0283,Roberto Oliveira Instaladora Ltda,2025-01-01,2025-01-31,2025-02-03,2128.94,2128.94,Pago,3,PIX
REC-50036,PED-106190,AUR-0283,Roberto Oliveira Instaladora Ltda,2025-01-01,2025-01-29,2025-01-31,1133.9,1133.9,Pago,2,Boleto
REC-50037,PED-106190,AUR-0283,Roberto Oliveira Instaladora Ltda,2025-01-01,2025-01-01,,1201.9,0,Vencido,364,PIX
REC-50038,PED-106190,AUR-0283,Roberto Oliveira Instaladora Ltda,2025-01-01,2025-01-16,2025-01-29,2488.62,2488.62,Pago,13,Cartão
REC-50039,PED-106191,AUR-0301,Roberto Oliveira Construções Ltda,2025-01-01,2025-01-29,,201.21,0,Vencido,336,Boleto
REC-50040,PED-106191,AUR-0301,Roberto Oliveira Construções Ltda,2025-01-01,2025-01-31,2025-01-29,495.41,495.41,Pago,0,Cartão
REC-50041,PED-106191,AUR-0301,Roberto Oliveira Construções Ltda,2025-01-01,2025-01-29,2025-01-31,202.34,202.34,Pago,2,PIX
