mes_ref,linha_dre,categoria,valor
2025-01-01,Receita Bruta,Receita,1620760.99
2025-01-01,(-) Impostos s/ Venda,Dedução,-194491.32
2025-01-01,Receita Líquida,Receita,1426269.67
2025-01-01,(-) CMV,CMV,-1142845.12
2025-01-01,Lucro Bruto,Resultado,283424.55
2025-01-01,(-) Comissões,Operacional,-35656.74
2025-01-01,(-) Salários+Encargos,Operacional,-222000
2025-01-01,(-) Aluguel CD,Operacional,-78000
2025-01-01,(-) Frete Saída,Operacional,-31972.21
2025-01-01,(-) Marketing,Operacional,-32000
2025-01-01,(-) Energia,Operacional,-18400
2025-01-01,(-) Outras Adm,Operacional,-42000
2025-01-01,EBITDA,Resultado,-176604.4
2025-01-01,(-) Depreciação,Operacional,-24500
2025-01-01,Lucro Operacional,Resultado,-201104.4
2025-01-01,(-) Desp. Financeiras,Financeira,-12000.0
2025-01-01,Lucro Antes IR,Resultado,-213104.4
2025-01-01,(-) IR/CSLL,Tributário,0
2025-01-01,Lucro Líquido,Resultado,-213104.4
2025-02-01,Receita Bruta,Receita,1694706.72
2025-02-01,(-) Impostos s/ Venda,Dedução,-203364.81
2025-02-01,Receita Líquida,Receita,1491341.91
2025-02-01,(-) CMV,CMV,-1201139.4
2025-02-01,Lucro Bruto,Resultado,290202.51
2025-02-01,(-) Comissões,Operacional,-37283.55
2025-02-01,(-) Salários+Encargos,Operacional,-224000
2025-02-01,(-) Aluguel CD,Operacional,-78000
2025-02-01,(-) Frete Saída,Operacional,-35543.65
2025-02-01,(-) Marketing,Operacional,-32000
2025-02-01,(-) Energia,Operacional,-18800
2025-02-01,(-) Outras Adm,Operacional,-42000
2025-02-01,EBITDA,Resultado,-177424.68
2025-02-01,(-) Depreciação,Operacional,-24500
2025-02-01,Lucro Operacional,Resultado,-201924.68
2025-02-01,(-) Desp. Financeiras,Financeira,-12447.27
2025-02-01,Lucro Antes IR,Resultado,-214371.96
2025-02-01,(-) IR/CSLL,Tributário,0
2025-02-01,Lucro Líquido,Resultado,-214371.96
2025-03-01,Receita Bruta,Receita,2542218.8
2025-03-01,(-) Impostos s/ Venda,Dedução,-305066.26
2025-03-01,Receita Líquida,Receita,2237152.54
2025-03-01,(-) CMV,CMV,-1795651.4
2025-03-01,Lucro Bruto,Resultado,441501.14
2025-03-01,(-) Comissões,Operacional,-55928.81
2025-03-01,(-) Salários+Encargos,Operacional,-226000
2025-03-01,(-) Aluguel CD,Operacional,-78000
2025-03-01,(-) Frete Saída,Operacional,-56488.1
2025-03-01,(-) Marketing,Operacional,-47000
2025-03-01,(-) Energia,Operacional,-19200
2025-03-01,(-) Outras Adm,Operacional,-42000
2025-03-01,EBITDA,Resultado,-83115.77
2025-03-01,(-) Depreciação,Operacional,-24500
2025-03-01,Lucro Operacional,Resultado,-107615.77
2025-03-01,(-) Desp. Financeiras,Financeira,-12894.55
2025-03-01,Lucro Antes IR,Resultado,-120510.32
2025-03-01,(-) IR/CSLL,Tributário,0
2025-03-01,Lucro Líquido,Resultado,-120510.32
2025-04-01,Receita Bruta,Receita,3195157.33
2025-04-01,(-) Impostos s/ Venda,Dedução,-383418.88
2025-04-01,Receita Líquida,Receita,2811738.45
2025-04-01,(-) CMV,CMV,-2261428.11
2025-04-01,Lucro Bruto,Resultado,550310.34
2025-04-01,(-) Comissões,Operacional,-70293.46
2025-04-01,(-) Salários+Encargos,Operacional,-228000
2025-04-01,(-) Aluguel CD,Operacional,-78000
2025-04-01,(-) Frete Saída,Operacional,-74979.69
