data,tipo,categoria,descricao,valor,saldo_acumulado,conta
2025-07-04,Entrada,Recebimento Cliente,Liquidação boleto,26357.44,506357.44,Itaú-PJ
2025-07-04,Entrada,Recebimento Cliente,Liquidação boleto,54348.19,560705.63,Itaú-PJ
2025-07-04,Entrada,Recebimento Cliente,PIX cliente,55398.21,616103.84,BB-PJ
2025-07-04,Entrada,Outras Receitas,PIX cliente,20893.61,636997.45,BB-PJ
2025-07-04,Entrada,Recebimento Cliente,Liquidação boleto,47041.66,684039.11,Itaú-PJ
2025-07-04,Entrada,Recebimento Cliente,Liquidação boleto,32915.9,716955.01,Itaú-PJ
2025-07-04,Entrada,Recebimento Cliente,Liquidação boleto,28324.52,745279.53,BB-PJ
2025-07-04,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-11011.1,734268.43,Itaú-PJ
2025-07-04,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-5368.12,728900.31,Itaú-PJ
2025-07-04,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-32840.9,696059.41,Itaú-PJ
2025-07-04,Saída,Aluguel,Aluguel,-19662.07,676397.34,Itaú-PJ
2025-07-04,Saída,Impostos,Impostos,-25399.75,650997.59,Itaú-PJ
2025-07-04,Saída,Outras,Outras,-16258.0,634739.59,Itaú-PJ
2025-07-05,Saída,Marketing,Marketing,-22670.96,612068.63,Itaú-PJ
2025-07-05,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-19656.78,592411.85,BB-PJ
2025-07-05,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-10581.11,581830.74,BB-PJ
2025-07-05,Saída,Folha,Folha,-188825.95,393004.79,BB-PJ
2025-07-06,Saída,Aluguel,Aluguel,-8926.84,384077.95,Itaú-PJ
2025-07-06,Saída,Impostos,Impostos,-13077.69,371000.26,Itaú-PJ
2025-07-06,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-8360.16,362640.1,Itaú-PJ
2025-07-06,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-24755.34,337884.76,Itaú-PJ
2025-07-07,Entrada,Outras Receitas,PIX cliente,53303.04,391187.8,BB-PJ
2025-07-07,Entrada,Recebimento Cliente,PIX cliente,28240.87,419428.67,BB-PJ
2025-07-07,Entrada,Outras Receitas,Liquidação boleto,35493.1,454921.77,Itaú-PJ
2025-07-07,Entrada,Recebimento Cliente,PIX cliente,22846.93,477768.7,Caixa
2025-07-07,Entrada,Outras Receitas,Liquidação boleto,40889.49,518658.19,Itaú-PJ
2025-07-07,Entrada,Recebimento Cliente,Liquidação boleto,15894.29,534552.48,Caixa
2025-07-07,Entrada,Recebimento Cliente,Liquidação boleto,37491.93,572044.41,Itaú-PJ
2025-07-07,Saída,Impostos,Impostos,-9481.14,562563.27,BB-PJ
2025-07-07,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-19777.22,542786.05,Itaú-PJ
2025-07-07,Saída,Folha,Folha,-13567.64,529218.41,BB-PJ
2025-07-07,Saída,Impostos,Impostos,-10037.76,519180.65,BB-PJ
2025-07-08,Entrada,Outras Receitas,PIX cliente,14160.25,533340.9,Itaú-PJ
2025-07-08,Entrada,Recebimento Cliente,Liquidação boleto,26722.82,560063.72,Itaú-PJ
2025-07-08,Entrada,Recebimento Cliente,Liquidação boleto,21279.74,581343.46,Itaú-PJ
2025-07-08,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-10280.33,571063.13,BB-PJ
2025-07-08,Saída,Folha,Folha,-17625.23,553437.9,Itaú-PJ
2025-07-08,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-6346.34,547091.56,Itaú-PJ
2025-07-08,Saída,Folha,Folha,-20362.95,526728.61,Itaú-PJ
2025-07-08,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-10928.61,515800.0,Itaú-PJ
2025-07-08,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-10295.53,505504.47,Itaú-PJ
2025-07-09,Entrada,Outras Receitas,PIX cliente,43513.93,549018.4,BB-PJ
2025-07-09,Entrada,Recebimento Cliente,Liquidação boleto,10640.28,559658.68,BB-PJ
2025-07-09,Entrada,Recebimento Cliente,Liquidação boleto,30907.81,590566.49,Itaú-PJ
